"","countrycode","rank","countryname","gdpinusd","income.group"
"38","BRB",153,"Barbados",4225,"High income: nonOECD"
"39","MWI",152,"Malawi",4264,"Low income"
"40","MNE",151,"Montenegro",4373,"Upper middle income"
"41","SUR",150,"Suriname",5012,"Upper middle income"
"42","BMU",149,"Bermuda",5474,"High income: nonOECD"
"43","GIN",148,"Guinea",5632,"Low income"
"44","MCO",147,"Monaco",6075,"High income: nonOECD"
"45","KSV",146,"Kosovo",6445,"Lower middle income"
"46","KGZ",145,"Kyrgyz Republic",6475,"Low income"
"47","NER",144,"Niger",6773,"Low income"
"48","TJK",143,"Tajikistan",6972,"Low income"
"49","RWA",142,"Rwanda",7103,"Low income"
"50","MDA",141,"Moldova",7253,"Lower middle income"
"51","BEN",140,"Benin",7557,"Low income"
"52","HTI",139,"Haiti",7843,"Low income"
"53","BHS",138,"Bahamas, The",8149,"High income: nonOECD"
"54","MLT",137,"Malta",8722,"High income: nonOECD"
"55","LAO",136,"Lao PDR",9418,"Low income"
"56","MKD",135,"Macedonia, FYR",9613,"Upper middle income"
"57","ZWE",134,"Zimbabwe",9802,"Low income"
"58","ARM",133,"Armenia",9951,"Lower middle income"
"59","MDG",132,"Madagascar",9975,"Low income"
"60","SSD",131,"South Sudan",10220,NA
"61","MNG",130,"Mongolia",10271,"Lower middle income"
"62","MLI",129,"Mali",10308,"Low income"
"63","BFA",128,"Burkina Faso",10441,"Low income"
"64","MUS",127,"Mauritius",10486,"Upper middle income"
"65","NIC",126,"Nicaragua",10507,"Lower middle income"
"66","ALB",125,"Albania",12648,"Upper middle income"
"67","TCD",124,"Chad",12887,"Low income"
"68","NAM",123,"Namibia",13072,"Upper middle income"
"69","ISL",122,"Iceland",13579,"High income: OECD"
"70","COG",121,"Congo, Rep.",13678,"Lower middle income"
"71","KHM",120,"Cambodia",14038,"Low income"
"72","SEN",119,"Senegal",14046,"Lower middle income"
"73","MOZ",118,"Mozambique",14244,"Low income"
"74","BWA",117,"Botswana",14504,"Upper middle income"
"75","JAM",116,"Jamaica",14755,"Upper middle income"
"76","PNG",115,"Papua New Guinea",15654,"Lower middle income"
"77","GEO",114,"Georgia",15747,"Lower middle income"
"78","BRN",113,"Brunei Darussalam",16954,"High income: nonOECD"
"79","ZAR",112,"Congo, Dem. Rep.",17204,"Low income"
"80","BIH",111,"Bosnia and Herzegovina",17466,"Upper middle income"
"81","GNQ",110,"Equatorial Guinea",17697,"High income: nonOECD"
"82","GAB",109,"Gabon",18377,"Upper middle income"
"83","HND",108,"Honduras",18434,"Lower middle income"
"84","NPL",107,"Nepal",18963,"Low income"
"85","UGA",106,"Uganda",19881,"Low income"
"86","AFG",105,"Afghanistan",20497,"Low income"
"87","ZMB",104,"Zambia",20678,"Low income"
"88","EST",103,"Estonia",22390,"High income: nonOECD"
"89","CYP",102,"Cyprus",22767,"High income: nonOECD"
"90","TTO",101,"Trinidad and Tobago",23320,"High income: nonOECD"
"91","SLV",100,"El Salvador",23864,"Lower middle income"
"92","CIV",99,"Côte d'Ivoire",24680,"Lower middle income"
"93","CMR",98,"Cameroon",25322,"Lower middle income"
"94","PRY",97,"Paraguay",25502,"Lower middle income"
"95","BOL",96,"Bolivia",27035,"Lower middle income"
"96","TZA",95,"Tanzania",28242,"Low income"
"97","LVA",94,"Latvia",28373,"High income: nonOECD"
"98","BHR",93,"Bahrain",29044,"High income: nonOECD"
"99","JOR",92,"Jordan",31015,"Lower middle income"
"100","TKM",91,"Turkmenistan",35164,"Lower middle income"
"101","YEM",90,"Yemen, Rep.",35646,"Lower middle income"
"102","PAN",89,"Panama",36253,"Upper middle income"
"103","SRB",88,"Serbia",37489,"Upper middle income"
"104","KEN",87,"Kenya",40697,"Low income"
"105","GHA",86,"Ghana",40711,"Low income"
"106","ETH",85,"Ethiopia",41605,"Low income"
"107","LTU",84,"Lithuania",42344,"Upper middle income"
"108","LBN",83,"Lebanon",42945,"Upper middle income"
"109","MAC",82,"Macao SAR, China",43582,"High income: nonOECD"
"110","CRI",81,"Costa Rica",45104,"Upper middle income"
"111","SVN",80,"Slovenia",45279,"High income: OECD"
"112","TUN",79,"Tunisia",45662,"Lower middle income"
"113","URY",78,"Uruguay",49920,"Upper middle income"
"114","GTM",77,"Guatemala",50234,"Lower middle income"
"115","BGR",76,"Bulgaria",50972,"Upper middle income"
"116","UZB",75,"Uzbekistan",51113,"Lower middle income"
"117","LUX",74,"Luxembourg",55178,"High income: OECD"
"118","SDN",73,"Sudan",58769,"Lower middle income"
"119","DOM",72,"Dominican Republic",59047,"Upper middle income"
"120","HRV",71,"Croatia",59228,"High income: nonOECD"
"121","LKA",70,"Sri Lanka",59423,"Lower middle income"
"122","BLR",69,"Belarus",63267,"Upper middle income"
"123","AZE",68,"Azerbaijan",66605,"Upper middle income"
"124","CUB",67,"Cuba",68234,"Upper middle income"
"125","OMN",66,"Oman",69972,"High income: nonOECD"
"126","SYR",65,"Syrian Arab Republic",73672,"Lower middle income"
"127","ECU",64,"Ecuador",84040,"Lower middle income"
"128","SVK",63,"Slovak Republic",91149,"High income: OECD"
"129","MAR",62,"Morocco",95982,"Lower middle income"
"130","PRI",61,"Puerto Rico",101496,"High income: nonOECD"
"131","AGO",60,"Angola",114147,"Lower middle income"
"132","BGD",59,"Bangladesh",116355,"Low income"
"133","HUN",58,"Hungary",124600,"High income: OECD"
"134","VNM",57,"Vietnam",155820,"Lower middle income"
"135","KWT",56,"Kuwait",160913,"High income: nonOECD"
"136","NZL",55,"New Zealand",167347,"High income: OECD"
"137","QAT",54,"Qatar",171476,"High income: nonOECD"
"138","UKR",53,"Ukraine",176309,"Lower middle income"
"139","ROM",52,"Romania",192711,"Upper middle income"
"140","CZE",51,"Czech Republic",196446,"High income: OECD"
"141","KAZ",50,"Kazakhstan",203521,"Upper middle income"
"142","PER",49,"Peru",203790,"Upper middle income"
"143","DZA",48,"Algeria",205789,"Upper middle income"
"144","IRQ",47,"Iraq",210280,"Lower middle income"
"145","IRL",46,"Ireland",210771,"High income: OECD"
"146","PRT",45,"Portugal",212274,"High income: OECD"
"147","PAK",44,"Pakistan",225143,"Lower middle income"
"148","FIN",43,"Finland",247546,"High income: OECD"
"149","GRC",42,"Greece",249099,"High income: OECD"
"150","PHL",41,"Philippines",250182,"Lower middle income"
"151","ISR",40,"Israel",258217,"High income: OECD"
"152","NGA",39,"Nigeria",262597,"Lower middle income"
"153","EGY",38,"Egypt, Arab Rep.",262832,"Lower middle income"
"154","HKG",37,"Hong Kong SAR, China",263259,"High income: nonOECD"
"155","CHL",36,"Chile",269869,"Upper middle income"
"156","SGP",35,"Singapore",274701,"High income: nonOECD"
"157","MYS",34,"Malaysia",305033,"Upper middle income"
"158","DNK",33,"Denmark",314887,"High income: OECD"
"159","ARE",32,"United Arab Emirates",348595,"High income: nonOECD"
"160","THA",31,"Thailand",365966,"Lower middle income"
"161","COL",30,"Colombia",369606,"Upper middle income"
"162","VEN",29,"Venezuela, RB",381286,"Upper middle income"
"163","ZAF",28,"South Africa",384313,"Upper middle income"
"164","AUT",27,"Austria",394708,"High income: OECD"
"165","ARG",26,"Argentina",475502,"Upper middle income"
"166","BEL",25,"Belgium",483262,"High income: OECD"
"167","POL",24,"Poland",489795,"High income: OECD"
"168","NOR",23,"Norway",499667,"High income: OECD"
"169","IRN",22,"Iran, Islamic Rep.",514060,"Upper middle income"
"170","SWE",21,"Sweden",523806,"High income: OECD"
"171","CHE",20,"Switzerland",631173,"High income: OECD"
"172","SAU",19,"Saudi Arabia",711050,"High income: nonOECD"
"173","NLD",18,"Netherlands",770555,"High income: OECD"
"174","TUR",17,"Turkey",789257,"Upper middle income"
"175","IDN",16,"Indonesia",878043,"Lower middle income"
"176","KOR",15,"Korea, Rep.",1129598,"High income: OECD"
"177","MEX",14,"Mexico",1178126,"Upper middle income"
"178","ESP",13,"Spain",1322965,"High income: OECD"
"179","AUS",12,"Australia",1532408,"High income: OECD"
"180","CAN",11,"Canada",1821424,"High income: OECD"
"181","IND",10,"India",1841710,"Lower middle income"
"182","ITA",9,"Italy",2014670,"High income: OECD"
"183","RUS",8,"Russian Federation",2014775,"Upper middle income"
"184","BRA",7,"Brazil",2252664,"Upper middle income"
"185","GBR",6,"United Kingdom",2471784,"High income: OECD"
"186","FRA",5,"France",2612878,"High income: OECD"
"187","DEU",4,"Germany",3428131,"High income: OECD"
"188","JPN",3,"Japan",5959718,"High income: OECD"
"189","CHN",2,"China",8227103,"Lower middle income"
"190","USA",1,"United States",16244600,"High income: OECD"
